Property,Type,Variations,Description,Token Count
Hardness,Mechanical,"['Hardness', 'Microhardness', 'Nanohardness', 'Vickers microhardness', 'Vickers Micro-Hardness', 'Rockwell Hardness', 'Macrohardness', 'Micro-Vickers Hardness', 'Martens Hardness', 'Bulk Hardness', 'Microscopic Hardness', 'Macroscopic Hardness', 'Intrinsic Hardness', 'Mechanical Hardness', 'Micro Hardness', 'Nano Hardness', 'Nano-hardness', 'Nano-Hardness', 'Micro-hardness', 'Micro Vickers hardness', 'Hardness (Vickers)', ""Vickers' Micro-Hardness"", 'Vickers Indentation Fracture Toughness']","1. Explanation: Hardness is a measure of a material's resistance to localized plastic deformation, typically by indentation. It provides insight into a material's strength and wear resistance, influencing its applicability in various industrial and engineering contexts.
2. Units: Hardness is measured in various units depending on the method, such as Vickers (HV), Rockwell (HR), and Brinell (HB).
3. Variations: Hardness, Microhardness, Nanohardness, Vickers microhardness, Rockwell Hardness, Martens Hardness.",373
Ductility,Mechanical,"['Ductility', 'Tensile Ductility', 'Bending Ductility', 'Compressive Ductility','?']","1. Explanation: Ductility is the ability of a material to undergo significant plastic deformation before rupture, typically measured by the material's ability to be stretched into a wire. It is an important property for materials that must be formed through processes like drawing or rolling. High ductility indicates that a material can withstand tensile stress and deform without breaking.
2. Units: Percentage elongation (%), percentage reduction in area (%).
3. Variations: Tensile Ductility, Bending Ductility.",249
Yield Strength,Mechanical,"['Yield Strength', 'Yield Stress', 'Tensile Yield Stress', 'Specific Yield Strength', 'Yielding Strength', 'Yielding Strengths', 'Yield Compressive Strength', 'Yield Strain', 'Specific Yield Stress', 'Yield Tensile Strength', 'Compressive Yield Strength', 'Compressive Yield Strengths', 'Compressive Yield Stress', 'Compression Yield Strength', 'Compressive Yield Stress', 'Yield Strengths','?y']","1. Explanation: Yield Strength is the stress at which a material begins to deform plastically. Below this stress level, the material will return to its original shape upon removal of the stress. It marks the end of elastic behavior and the beginning of plastic deformation.
2. Units: Pascals (Pa) or Megapascals (MPa).
3. Variations: Yield Strength, Yield Stress, Tensile Yield Stress, Compressive Yield Strength, Compressive Yield Stress, Yield Strain, Specific Yield Strength.",312
Ultimate Tensile Strength,Mechanical,"['Ultimate Tensile Strength', 'UTS', 'Ultimate Strength', 'Ultimate tensile stress', 'Tensile Strength', 'Tensile Strengths', 'Ultimate Tensile Elongation', 'Ultimate Elongation','?max']","1. Explanation: Ultimate Tensile Strength (UTS) is the maximum stress that a material can withstand while being stretched or pulled before breaking. It represents the peak value in a stress-strain curve obtained during a tensile test.
2. Units: Pascals (Pa) or typically reported in megapascals (MPa) or gigapascals (GPa).
3. Variations: Ultimate Tensile Strength, UTS, Ultimate Strength, Tensile Strength.",263
Compressive Strength,Mechanical,"['Compressive Strength', 'Compressive Ultimate Strength', 'Ultimate Compressive Strength', 'Compression Strength', 'Compression Stress', 'Compression Yield Strength', 'Compressive Fracture Strength']","1. Explanation: Compressive Strength is the ability of a material to withstand loads that tend to reduce its size. It is the value of compressive stress that leads to the failure of a material in compression. It indicates the maximum stress a material can sustain under compressive loading before it fractures or yields.  
2. Units: Pascals (Pa), commonly as megapascals (MPa) or gigapascals (GPa).
3. Variations: Compressive Strength, Compression Yield Strength, Compressive Fracture Strength.",268
Wear Resistance,Mechanical,"['Wear Resistance', 'Wear', 'Wear-Resistance', 'Wear rate', 'Wear Rates', 'Wear Rate', 'Wear Volume', 'Abrasive Wear Resistance', 'Fretting Wear Resistance', 'Cavitation Erosion Resistance', 'Erosion Resistance']","1. Explanation: Wear resistance is the ability of a material to withstand damage or deformation due to mechanical action such as friction, abrasion, or erosion. It is a critical property for components that undergo frequent contact or relative motion against other surfaces.
2. Units: While wear resistance itself doesn't have specific units, it is often evaluated through the volume loss measurement in cubic millimeters (mmÂ³) or as a dimensionless relative value.
3. Variations: Wear Resistance, Wear Rate, Abrasive Wear Resistance, Fretting Wear Resistance, Cavitation Erosion Resistance, Erosion Resistance.",293
Toughness,Mechanical,"['Toughness', 'Fracture Toughness', 'Impact Toughness', 'Fracture Resistance', 'Cryogenic Toughness', 'Impact Strength', 'Impact Resistance', 'Fracture Energy', 'Charpy Impact Energy', 'Hardening Capacity']","1. Explanation: Toughness is the ability of a material to absorb energy and plastically deform without fracturing. It represents the total area under the material's stress-strain curve, reflecting a balance between strength and ductility. Materials with high toughness can withstand impacts and shocks effectively.
2. Units: Joules per cubic meter (J/mÂ³) or in some cases, megapascals square root meter (MPaâm) for specific fracture-related measures.
3. Variations: Toughness, Fracture Toughness, Impact Toughness, Charpy Impact Energy, Fracture Energy.",297
Elastic Modulus,Mechanical,"['Elastic Modulus', ""Young's Modulus"", 'Young modulus', 'Young s Modulus', ""Reduced Young's Modulus"", 'Modulus of Elasticity', 'Elastic Moduli', 'Bulk Modulus', 'Bulk Moduli', 'Bulk Elastic Modulus', 'Elastic Constants', 'Elastic Stiffness', 'Indentation Modulus', 'Indentation Moduli', 'Storage Modulus']","1. Explanation: Elastic Modulus is a measure of the stiffness of a material, indicating how it deforms under stress. It is the ratio of stress to strain in the linear elastic region of the material's stress-strain curve.
2. Units: Pascals (Pa), often presented as GigaPascals (GPa).
3. Variations: Young's Modulus, Modulus of Elasticity, Bulk Modulus, Indentation Modulus, Storage Modulus.",301
Shear Strength,Mechanical,"['Shear Strength', 'Shear Modulus', 'Shear Stress', 'Shear Yield Strength', 'Shear Yield Stress', 'Shear Resistance', 'Ultimate Shear Strength', 'Critical Resolved Shear Stress', 'Shear Deformation', 'Shear Elongation']","1. Explanation: Shear strength is the maximum stress a material can withstand in a shear plane before failure occurs. It evaluates the material's ability to resist sliding or tearing when directional forces are applied parallel to its surface.
2. Units: Pascals (Pa) or pounds per square inch (psi).
3. Variations: Shear Strength, Ultimate Shear Strength, Shear Yield Strength.",261
Strain,Mechanical,"['Strain', 'Total Strain', 'Plastic Strain', 'Fracture Strain', 'Fracture Elongation', 'Strain to Failure', 'Strain-to-failure', 'Tensile Strain', 'Elastic Strain Energy', 'Elastic Elongation', 'Elastic Strain Limit', 'Plastic Strain to Failure', 'Plastic-Strain Limit', 'Strain Hardening Rate', 'Strain Hardening Exponent', 'Strain Hardening Rates', 'Strain-Hardening Rate', 'Strain Hardening Capability', 'Strain-hardening rate', 'Strain-hardening Rate', 'Strain-hardening Capability', 'Strain Rate', 'Strain Energy Density', 'Compressive Strain', 'Compression Strain', 'True Strain', 'Ultimate Strain', 'Strain Hardening Coefficient']","1. Explanation: Strain is a measure of deformation representing the displacement between particles in the material body compared to a reference length. It quantifies how much a material stretches or compresses under external forces.
2. Units: Strain is a dimensionless quantity, typically expressed as a ratio or percentage.
3. Variations: Strain, Total Strain, Plastic Strain, Fracture Strain, Strain Rate, True Strain, Compressive Strain, Ultimate Strain.",398
