,Properties,frequency
33,Hardness,14865
11,Strength,13524
34,Ductility,11148
15,Yield Strength,5613
7,Wear Resistance,4855
8,Corrosion Resistance,4796
6,Microhardness,3758
121,Toughness,3456
91,Oxidation Resistance,3284
35,Density,2989
54,Fracture Toughness,2446
93,Thermal Stability,2128
155,Elongation,1993
200,Tensile Strength,1930
1268,Creep,1882
39,Plasticity,1845
58,Microstructure,1785
24,Elastic Modulus,1599
158,Mechanical Properties,1543
96,Oxidation,1536
245,Yield Stress,1379
305,Wear resistance,1345
164,Ultimate Tensile Strength,1232
137,Stability,1130
469,Magnetization,1122
56,Compressive Strength,1081
154,Young's Modulus,1057
189,Grain Size,903
237,Thermal Conductivity,901
18,Curie Temperature,889
297,Corrosion resistance,889
438,Brittleness,797
240,Magnetic Entropy Change,765
119,Vickers hardness,693
216,Phase Stability,639
536,Coercivity,567
226,Yield strength,530
378,Magnetocaloric,528
238,Magnetic Properties,522
167,Lattice Distortion,502
57,Fracture Strain,469
1443,GFA,463
51,Fracture Strength,462
166,Vickers microhardness,442
694,Catalytic Activity,441
224,Nanohardness,432
267,Corrosion,422
52,Plastic Strain,421
737,Saturation Magnetization,420
163,Corrosion resistances,419
254,Entropy,418
387,Magnetocaloric Effect,409
330,Hardening,405
765,Creep Resistance,402
103,Stacking Fault Energy,395
48,Wear Rate,387
139,Friction Coefficient,384
1107,Durability,381
561,Shear Modulus,380
321,Micro-hardness,378
64,Electrical Conductivity,375
53,Vickers Hardness,371
1328,ECSA,361
458,Compressive Yield Strength,351
377,Magnetic,349
354,Strain Hardening,344
392,Dislocation Density,342
444,Fatigue,333
95,Resistivity,330
3307,Compressive Yield Stress,327
1184,Conductivity,327
4271,Creep Rate,321
497,Strengthening,316
5,Elastic Constants,316
41,Strain,316
190,Electronegativity,312
122,Work Hardening,308
4,Bulk Modulus,308
65,Seebeck Coefficient,306
650,Thermal stability,302
214,Electrical Resistivity,298
443,Fatigue Resistance,293
357,Structural Stability,288
2641,High Temperature Strength,287
1322,Overpotential,285
567,Biocompatibility,284
135,Plastic Deformation,283
37,Poisson's Ratio,280
344,Young's modulus,277
379,Uniform Elongation,273
423,Enthalpy,273
130,Activation Energy,272
442,Grain Refinement,265
3,Shear modulus,264
348,Tensile Properties,261
116,BCC,254
587,Porosity,248
115,FCC,248
260,Shear Strength,248
849,Compressive Properties,245
10,Wear,241
956,Ultimate Strength,239
241,Refrigerant Capacity,238
107,Entropy Change,238
913,Electrochemical Performance,235
676,Flexural Strength,226
616,Morphology,223
398,Heat Capacity,222
736,Abrasion Resistance,221
70,Thermal conductivity,217
1154,Permeability,216
959,Elasticity,215
31,Stiffness,212
1191,Superconductivity,212
340,Solid Solution Strengthening,210
384,Magnetic properties,207
503,SFE,207
173,Irradiation Resistance,206
188,Melting Point,206
476,Phase,205
1340,Yield stress,204
2,Bulk modulus,204
304,Elastic Moduli,201
282,Coefficient of Friction,200
606,Thermal Diffusivity,196
1023,Phase Transition,194
162,Wear rate,192
655,Mixing Entropy,189
221,Structure,187
420,Mechanical Strength,184
161,Catalytic Performance,182
1567,Maximum Stress,177
1544,Pitting Potential,176
1381,Tafel Slope,174
329,Flow Stress,173
1605,Electrocatalytic Activity,173
102,Grain Growth,172
1002,Curie temperature,170
9,Friction,170
634,Modulus,169
659,Valence Electron Concentration,169
985,Mechanical properties,169
1309,Fracture toughness,168
574,Elastic modulus,166
656,Mixing Enthalpy,164
847,Crystal Structure,162
4865,Characteristic Temperatures,161
397,Thermal Expansion Coefficient,161
992,Refrigeration Capacity,160
1463,Power Factor,160
94,Thermal Expansion,158
192,Strain Rate Sensitivity,158
622,Precipitation Strengthening,157
311,Pitting Resistance,156
309,Hydrogen Storage Capacity,156
21,Relative Cooling Power,155
1195,Relative Density,153
394,Surface Roughness,151
3376,Ductile Brittle Transition Temperature,149
563,Poisson's ratio,149
55,Texture,148
44,Phase Transformation,148
3417,Printability,147
471,Specific Heat,147
478,Hysteresis,147
1307,Anisotropy,145
723,Hydrogen Storage,145
2031,Activity,145
647,Magnetic Entropy,145
386,Ferromagnetic,145
271,Nano-hardness,144
950,Specific Strength,142
4306,Room Temperature Strength,141
253,Heat capacity,140
153,Young s Modulus,140
